idLoc,idProv,nomLoc,nomZona
11364,5,San Bernardo,ORAN
11365,5,San Ignacio,ORAN
11366,5,San Ramon De La Nueva Oran,ORAN
11367,5,Soledad,ORAN
11368,5,Tres Pozos,ORAN
11369,5,Aguas Blancas,ORAN
11370,5,Colonia Santa Rosa,ORAN
11371,5,Isla De Cañas,IRUYA
11372,5,Los Toldos,SANTA VICTORIA
11373,5,Santa Cruz,ORAN
11374,5,Angel Peredo,ORAN
11375,5,Angelica,ORAN
11376,5,El Tabacal,ORAN
11377,5,Hipolito Yrigoyen,ORAN
11378,5,Ingenio San Martin,ORAN
11379,5,Kilometro 1298,ORAN
11380,5,Lote Estela,SAN MARTIN
11381,5,Maria Luisa,ORAN
11382,5,Tabacal Ingenio,ORAN
11383,5,Algarrobal,ORAN
11384,5,Arbol Solo,ORAN
11385,5,El Mistol,ORAN
11386,5,El Quimilar(Carboncito),ORAN
11387,5,Kilometro 1280,ORAN
11388,5,Kilometro 1281,ORAN
11389,5,Kilometro 1291,ORAN
11390,5,Las Varas,ORAN
11391,5,Pichanal,ORAN
11392,5,Pizarro,ORAN
11393,5,Puesto Del Medio,ORAN
11394,5,Santa Rosa,ORAN
11395,5,Yacara,ORAN
11396,5,Aguas Muertas,RIVADAVIA
11397,5,Algarrobal,RIVADAVIA
11398,5,Alto Verde,RIVADAVIA
11399,5,Arenales,ORAN
11400,5,Belgrano Fortin,RIVADAVIA
11401,5,Bella Vista,RIVADAVIA
11402,5,Campo Argentino,RIVADAVIA
11403,5,El Destierro,RIVADAVIA
11404,5,El Soldadito,RIVADAVIA
11405,5,El Tunalito,RIVADAVIA
11406,5,Fortin Frias,RIVADAVIA
11407,5,La Cancha,RIVADAVIA
11408,5,La Esquinita,RIVADAVIA
11409,5,La Montaña,RIVADAVIA
11410,5,La Tablada,RIVADAVIA
11411,5,La Union,RIVADAVIA
11412,5,Las Bolsas,RIVADAVIA
11413,5,Las Cañitas,RIVADAVIA
11414,5,Las Conchas,RIVADAVIA
11415,5,Las Llaves,RIVADAVIA
11416,5,Martin Garcia,RIVADAVIA
11417,5,Mollinedo,RIVADAVIA
11418,5,Palmarcito,RIVADAVIA
11419,5,Paraiso,RIVADAVIA
11420,5,Paso El Milagro San Aniceto,RIVADAVIA
11421,5,Porongal,RIVADAVIA
11422,5,Pozo Cercado,ORAN
11423,5,Pozo Del Pato,RIVADAVIA
11424,5,Pozo Del Zorro,RIVADAVIA
11425,5,Pozo Verde,RIVADAVIA
11426,5,Puesto De La Viuda,RIVADAVIA
11427,5,Rivadavia,RIVADAVIA
11428,5,San Isidro,RIVADAVIA
11429,5,San Joaquin,RIVADAVIA
11430,5,Santa Rosa,RIVADAVIA
11431,5,Santo Domingo,RIVADAVIA
11432,5,Victorica,RIVADAVIA
11433,5,Villa Petrona,RIVADAVIA
11434,5,Chaguaral,ORAN
11435,5,Esteban De Urizar,ORAN
11436,5,Jeronimo Matorras,ORAN
11437,5,La Estrella,ORAN
11438,5,Martinez Del Tinco,ORAN
11439,5,Martinez Del Tineo,ORAN
11440,5,Yuchan,ORAN
11441,5,Coronel Juan Sola,RIVADAVIA
11442,5,El Desmonte,ORAN
11443,5,Finca La Toma,ORAN
11444,5,Las Maravillas,ORAN
11445,5,Saucelito,ORAN
11446,5,El Cuico Pozo Del,ORAN
11447,4,El Talar,SANTA BARBARA
11448,5,Santa Marina,ORAN
11449,5,Urundel,ORAN
11450,5,Buen Lugar,SAN MARTIN
11451,5,Colonia Otomana,SAN MARTIN
11452,5,Corzuela,SAN MARTIN
11453,5,El Cuchillo,SAN MARTIN
11454,5,El Retiro,SAN MARTIN
11455,5,Embarcacion,SAN MARTIN
11456,5,Kilometro 1306,SAN MARTIN
11457,5,La Fortuna,SAN MARTIN
11458,5,La Quena,SAN MARTIN
11459,5,Los Baldes,SAN MARTIN
11460,5,Manuel Elordi,ORAN
11461,5,Nuevo Porvenir,SAN MARTIN
11462,5,Otomana,SAN MARTIN
11463,5,Puesto Grande,SAN MARTIN
11464,5,Santa Victoria,SAN MARTIN
11465,5,Antonio Quijarro,SAN MARTIN
11466,5,Campichuelo,SAN MARTIN
11467,5,Coronel Cornejo,SAN MARTIN
11468,5,Corralito,SAN MARTIN
11469,5,General Ballivian,SAN MARTIN
11470,5,Pastor Senillosa,SAN MARTIN
11471,5,Pocoy,SAN MARTIN
11472,5,Senda Hachada,SAN MARTIN
11473,5,Tranquitas,SAN MARTIN
11474,5,Campo Libre,SAN MARTIN
11475,5,Capitan Juan Page,RIVADAVIA
